"School","Conference"
"Abilene Christian","UAC"
"Adams State","Rocky Mountain"
"Adrian","Michigan"
"Air Force","Mountain West"
"Akron","Mid-American"
"Alabama","SEC"
"Alabama A&M","SWAC"
"Alabama State","SWAC"
"Albany State GA","SIAC"
"Albion","Michigan"
"Albright","Mid Atlantic"
"Alcorn State","SWAC"
"Alderson-Broaddus","Mountain East"
"Alfred State","ECFC"
"Alfred University","Empire 8"
"Allegheny","Presidents'"
"Allen","SIAC"
"Alma","Michigan"
"American International","Northeast 10"
"Amherst","NESCAC"
"Anderson (IN)","Heartland"
"Angelo State","Lone Star"
"Anna Maria College","ECFC"
"Apprentice School","Independent DIII"
"App State","Sun Belt"
"Arizona","Pac-12"
"Arizona State","Pac-12"
"Arkansas","SEC"
"Arkansas-Monticello","Great American"
"Arkansas-Pine Bluff","SWAC"
"Arkansas State","Sun Belt"
"Arkansas Tech","Great American"
"Army","FBS Independents"
"Ashland","Great Midwest Athletic"
"Assumption","Northeast 10"
"Auburn","SEC"
"Augsburg","Minnesota"
"Augustana (IL)","CCIW"
"Augustana University (SD)","Northern Sun"
"Aurora","NACC"
"Austin","American Southwest"
"Austin Peay","UAC"
"Averett","Old Dominion"
"Azusa Pacific","Great Northwest"
"Baldwin Wallace","Ohio"
"Ball State","Mid-American"
"Bates","NESCAC"
"Baylor","Big 12"
"Beloit","Midwest"
"Bemidji State","Northern Sun"
"Benedict College","SIAC"
"Benedictine University","NACC"
"Bentley","Northeast 10"
"Berry College","Southern Athletic"
"Bethany (WV)","Presidents'"
"Bethel (MN)","Minnesota"
"Bethune-Cookman","SWAC"
"Biddeford","Commonwealth Coast"
"Birmingham-Southern","Southern Athletic"
"Black Hills State","Rocky Mountain"
"Bloomsburg","Pennsylvania State Athletic"
"Bluefield State","Independent DII"
"Bluffton","Heartland"
"Boise State","Mountain West"
"Boston College","ACC"
"Bowdoin","NESCAC"
"Bowie State","CIAA"
"Bowling Green","Mid-American"
"Brevard College","USA South"
"Bridgewater State","MSCAC"
"Bridgewater (VA)","Old Dominion"
"Brockport","Empire 8"
"Brown","Ivy"
"Bryant","Big South-OVC"
"Bucknell","Patriot"
"Buena Vista","American Rivers"
"Buffalo","Mid-American"
"Buffalo State","Liberty League"
"Butler","Pioneer"
"BYU","Big 12"
"California","Pac-12"
"California Lutheran University","So. Cal."
"Cal Poly","Big Sky"
"Campbell","CAA"
"Capital","Ohio"
"Carleton","Minnesota"
"Carnegie Mellon","Presidents'"
"Carroll University (WI)","CCIW"
"Carson-Newman College","South Atlantic"
"Carthage","CCIW"
"Case Western Reserve","Presidents'"
"Castleton","ECFC"
"Catawba","South Atlantic"
"Catholic","Landmark Conference"
"Central Arkansas","UAC"
"Central College","American Rivers"
"Central Connecticut","NEC"
"Central Michigan","Mid-American"
"Central Missouri","Mid America"
"Central Oklahoma","Mid America"
"Central State (OH)","SIAC"
"Central Washington","Lone Star"
"Centre College Kentucky","Southern Athletic"
"Chadron St","Rocky Mountain"
"Chapman","So. Cal."
"Charleston Southern","Big South-OVC"
"Charlotte","American Athletic"
"Chattanooga","Southern"
"Cheyney","Pennsylvania State Athletic"
"Chicago","Midwest"
"Christopher Newport","New Jersey"
"Cincinnati","Big 12"
"Claremont-Mudd-Scripps College","So. Cal."
"Clarion","Pennsylvania State Athletic"
"Clark Atlanta","SIAC"
"Clemson","ACC"
"Coastal Carolina","Sun Belt"
"Coast Guard","NEWMAC"
"Coe College","American Rivers"
"Colby College","NESCAC"
"Colgate","Patriot"
"College Of New Jersey","New Jersey"
"Colorado","Pac-12"
"Colorado Mesa","Rocky Mountain"
"Colorado School Of Mines","Rocky Mountain"
"Colorado State","Mountain West"
"Columbia","Ivy"
"Concordia Moorhead","Minnesota"
"Concordia University Chicago","NACC"
"Concordia University St Paul","Northern Sun"
"Concordia-Wisconsin","NACC"
"Concord University","Mountain East"
"Cornell","Ivy"
"Cornell College (IA)","Midwest"
"Cortland","Empire 8"
"Crown College","Upper Midwest"
"CSU Pueblo","Rocky Mountain"
"Curry College","Commonwealth Coast"
"Dartmouth","Ivy"
"Davenport","GLIAC"
"Davidson","Pioneer"
"Dayton","Pioneer"
"Dean College","ECFC"
"Defiance College","Heartland"
"Delaware","CAA"
"Delaware State","MEAC"
"Delaware Valley","Mid Atlantic"
"Delta State","Gulf South"
"Denison University","North Coast"
"Depauw","North Coast"
"Dickinson (PA)","Centennial"
"Drake","Pioneer"
"Dubuque","American Rivers"
"Duke","ACC"
"Duquesne","NEC"
"East Carolina","American Athletic"
"East Central (OK)","Great American"
"Eastern Illinois","Big South-OVC"
"Eastern Kentucky","UAC"
"Eastern Michigan","Mid-American"
"Eastern New Mexico","Lone Star"
"Eastern University","Mid Atlantic"
"Eastern Washington","Big Sky"
"East Stroudsburg University","Pennsylvania State Athletic"
"East Tennessee State","Southern"
"East Texas A&M","Southland"
"East Texas Baptist University","American Southwest"
"Edinboro University","Pennsylvania State Athletic"
"Edward Waters","SIAC"
"Elizabeth City State","CIAA"
"Elmhurst","CCIW"
"Elon","CAA"
"Emory & Henry College","South Atlantic"
"Emporia State University","Mid America"
"Endicott College","Commonwealth Coast"
"ERSKINE","South Atlantic"
"Eureka College","NACC"
"Fairmont State","Mountain East"
"Fayetteville State","CIAA"
"FDU-Florham","Mid Atlantic"
"Ferris State","GLIAC"
"Ferrum","Old Dominion"
"Findlay","Great Midwest Athletic"
"Fitchburg State","MSCAC"
"Florida","SEC"
"Florida A&M","SWAC"
"Florida Atlantic","American Athletic"
"Florida International","Conference USA"
"Florida State","ACC"
"Fordham","Patriot"
"Fort Hays State","Mid America"
"Fort Lewis","Rocky Mountain"
"Fort Valley State","SIAC"
"Framingham State","MSCAC"
"Franklin","Heartland"
"Franklin & Marshall","Centennial"
"Franklin Pierce","Northeast 10"
"Fresno State","Mountain West"
"Frostburg State","Mountain East"
"Furman","Southern"
"Gallaudet","ECFC"
"Gannon","Pennsylvania State Athletic"
"Gardner-Webb","Big South-OVC"
"Geneva","Presidents'"
"Georgetown","Patriot"
"Georgia","SEC"
"Georgia Southern","Sun Belt"
"Georgia State","Sun Belt"
"Georgia Tech","ACC"
"Gettysburg","Centennial"
"Glenville State","Mountain East"
"Grambling","SWAC"
"Grand Valley State University","GLIAC"
"Greeneville","South Atlantic"
"Greensboro College","USA South"
"Greenville","Upper Midwest"
"Grinnell","Midwest"
"Grove City College","Presidents'"
"Guilford College","Old Dominion"
"Gustavus Adolphus","Minnesota"
"Hamilton","NESCAC"
"Hamline University","Minnesota"
"Hampden-Sydney","Old Dominion"
"Hampton","CAA"
"Hanover College","Heartland"
"Harding University","Great American"
"Hardin-Simmons","American Southwest"
"Hartwick","Empire 8"
"Harvard","Ivy"
"Hawai'i","Mountain West"
"Heidelberg","Ohio"
"Henderson State","Great American"
"Hendrix College","Southern Athletic"
"Hilbert College","North Coast"
"Hillsdale","Great Midwest Athletic"
"Hiram College","North Coast"
"Hobart College","Liberty League"
"Holy Cross","Patriot"
"Hope College","Michigan"
"Houston","Big 12"
"Houston Christian","Southland"
"Howard","MEAC"
"Howard Payne","American Southwest"
"Huntingdon College (AL)","USA South"
"Husson","Commonwealth Coast"
"Idaho","Big Sky"
"Idaho State","Big Sky"
"Illinois","Big Ten"
"Illinois College","Midwest"
"Illinois State","MVFC"
"Illinois Wesleyan","CCIW"
"Incarnate Word","Southland"
